"Survived","Pclass","Sex","SibSp","Parch","Embarked","FSize","AgeFactor","FareFactor"
"1","3","male","0","0","S","1","Young","Cheap"
"1","1","male","0","2","S","3","Baby","Expensive"
"1","2","female","0","1","S","2","Kid","Medium"
"1","1","male","0","0","S","1","Adult","Medium"
"1","3","female","2","1","C","4","Kid","Medium"
"1","1","male","0","0","S","1","Elder","Expensive"
"0","2","male","1","2","S","4","Adult","Medium"
"0","3","male","1","0","S","2","Adult","Medium"
"0","1","male","0","0","C","1","Adult","Medium"
"1","1","male","1","0","C","2","Adult","Expensive"
"0","3","male","0","0","S","1","Young","Cheap"
"1","3","male","0","0","C","1","Adult","Cheap"
"0","1","male","0","0","S","1","Elder","Medium"
"1","1","female","1","0","S","2","Adult","Expensive"
"1","2","female","0","0","S","1","Elder","Cheap"
"0","3","male","0","0","Q","1","Elder","Cheap"
"1","1","male","0","0","S","1","Adult","Medium"
"0","3","male","0","0","S","1","Adult","Cheap"
"0","1","male","0","0","S","1","Adult","Expensive"
"0","2","male","0","0","S","1","Adult","Medium"
"0","3","male","0","0","S","1","Young","Cheap"
"0","3","male","0","0","S","1","Adult","Cheap"
"0","2","male","0","0","S","1","Adult","Medium"
"0","1","male","0","0","S","1","Elder","Medium"
"0","3","male","0","0","Q","1","Adult","Cheap"
"1","3","female","2","1","C","4","Baby","Medium"
"0","3","male","0","0","S","1","Young","Cheap"
"0","3","male","0","0","S","1","Adult","Cheap"
"1","2","female","1","2","S","4","Adult","Medium"
"1","2","female","0","0","C","1","Young","Medium"
"0","3","female","0","0","S","1","Young","Cheap"
"0","1","male","0","0","S","1","Adult","Expensive"
"0","2","male","1","0","S","2","Adult","Medium"
"0","3","male","1","0","S","2","Adult","Cheap"
"0","3","male","0","0","S","1","Young","Cheap"
"1","3","female","0","1","S","2","Baby","Medium"
"0","3","male","5","2","S","8","Kid","Expensive"
"0","2","male","0","0","S","1","Adult","Medium"
"0","3","male","0","0","S","1","Elder","Cheap"
"1","3","female","0","0","S","1","Elder","Cheap"
"1","1","male","1","0","C","2","Adult","Expensive"
"0","3","female","3","1","S","5","Baby","Medium"
"1","1","female","1","0","S","2","Adult","Expensive"
"0","1","male","0","0","C","1","Elder","Medium"
"0","3","male","0","0","S","1","Adult","Cheap"
"1","3","male","1","1","S","3","Kid","Medium"
"0","3","male","1","0","S","2","Adult","Medium"
"0","3","male","0","0","S","1","Young","Cheap"
"0","1","male","0","0","S","1","Elder","Expensive"
"0","1","male","0","0","C","1","Elder","Expensive"
"0","3","male","0","0","S","1","Young","Cheap"
"0","3","male","0","0","C","1","Young","Medium"
"1","1","female","1","0","C","2","Elder","Expensive"
"0","3","male","0","0","S","1","Young","Medium"
"0","1","female","1","2","S","4","Adult","Ridiciulous"
"0","3","male","0","0","S","1","Young","Cheap"
"0","3","male","0","0","S","1","Young","Cheap"
"0","3","female","0","0","Q","1","Young","Cheap"
"0","3","female","0","0","Q","1","Adult","Cheap"
"0","3","female","0","0","S","1","Adult","Cheap"
"1","1","female","0","0","S","1","Young","Expensive"
"0","1","male","1","0","C","2","Young","Ridiciulous"
"1","2","female","0","2","S","3","Adult","Medium"
"1","1","male","0","0","S","1","Adult","Medium"
"0","3","male","0","0","S","1","Adult","Medium"
"1","3","male","0","0","S","1","Adult","Expensive"
"1","3","male","0","0","Q","1","Adult","Cheap"
"0","3","male","0","0","S","1","Young","Cheap"
"1","1","male","0","0","S","1","Adult","Medium"
"1","1","female","1","0","C","2","Elder","Expensive"
"0","3","male","0","0","S","1","Young","Cheap"
"0","1","male","0","0","S","1","Adult","Expensive"
"1","2","female","0","0","S","1","Adult","Cheap"
"0","3","male","0","0","Q","1","Adult","Medium"
"1","2","female","1","0","S","2","Adult","Medium"
"0","3","male","0","0","S","1","Adult","Cheap"
"1","1","female","0","0","S","1","Adult","Expensive"
"0","3","male","0","0","S","1","Young","Cheap"
"0","3","male","0","0","C","1","Adult","Cheap"
"1","1","female","0","1","C","2","Adult","Expensive"
"0","3","male","0","0","C","1","Young","Cheap"
"0","3","male","0","0","Q","1","Adult","Cheap"
"1","2","female","0","0","S","1","Elder","Cheap"
"0","1","male","0","0","S","1","Young","Ridiciulous"
"0","3","male","0","0","S","1","Adult","Cheap"
"0","2","male","2","1","S","4","Young","Cheap"
"1","2","female","1","1","S","3","Baby","Medium"
"0","3","male","0","0","C","1","Young","Cheap"
"0","3","male","1","1","C","3","Young","Cheap"
"1","3","female","0","2","C","3","Kid","Medium"
"0","3","female","0","0","S","1","Adult","Cheap"
"1","2","female","0","2","S","3","Kid","Medium"
"0","1","male","0","0","S","1","Adult","Medium"
"1","1","female","0","0","C","1","Adult","Ridiciulous"
"0","3","male","0","0","S","1","Young","Medium"
"1","1","female","0","2","C","3","Young","Expensive"
"1","1","female","0","2","S","3","Adult","Expensive"
"0","3","female","4","2","S","7","Kid","Expensive"
"0","3","female","4","2","S","7","Kid","Expensive"
"1","2","male","1","0","S","2","Adult","Medium"
"0","1","male","1","0","C","2","Elder","Ridiciulous"
"0","1","male","0","0","S","1","Elder","Medium"
"1","2","female","1","0","S","2","Young","Medium"
"1","2","male","0","0","C","1","Adult","Medium"
"0","3","male","1","1","S","3","Adult","Medium"
"1","2","male","1","1","S","3","Kid","Expensive"
"1","1","male","0","2","C","3","Young","Ridiciulous"
"0","2","male","0","0","S","1","Adult","Medium"
"0","3","male","0","0","Q","1","Young","Cheap"
"1","3","male","0","0","C","1","Young","Cheap"
"1","3","female","0","0","S","1","Young","Cheap"
"0","1","male","0","0","S","1","Elder","Medium"
"1","1","female","1","0","C","2","Adult","Expensive"
"0","1","male","0","0","C","1","Adult","Ridiciulous"
"1","1","female","1","1","S","3","Adult","Expensive"
"1","3","female","1","0","S","2","Adult","Medium"
"0","3","male","0","0","Q","1","Elder","Cheap"
"0","3","male","0","0","S","1","Adult","Cheap"
"0","2","male","0","0","S","1","Adult","Medium"
"0","3","male","0","0","S","1","Young","Cheap"
"0","3","female","0","0","S","1","Young","Cheap"
"0","3","male","2","0","S","3","Young","Medium"
"0","3","male","0","0","S","1","Young","Cheap"
"0","3","female","0","4","S","5","Adult","Medium"
"0","3","male","0","0","C","1","Young","Cheap"
"1","3","male","0","0","S","1","Adult","Cheap"
"1","2","male","0","0","S","1","Elder","Cheap"
"1","1","female","2","0","S","3","Elder","Expensive"
"1","1","male","0","0","S","1","Adult","Medium"
"1","3","female","0","0","Q","1","Young","Cheap"
"0","3","male","0","0","S","1","Young","Cheap"
"0","3","male","0","0","S","1","Young","Medium"
"1","2","female","0","0","S","1","Adult","Medium"
"1","1","female","1","0","S","2","Adult","Expensive"
"0","3","female","1","0","C","2","Adult","Medium"
"1","3","male","0","0","S","1","Adult","Cheap"
"1","2","female","1","1","S","3","Adult","Expensive"
"1","1","female","1","1","C","3","Adult","Ridiciulous"
"0","2","male","0","0","S","1","Elder","Medium"
"0","1","male","0","0","C","1","Adult","Expensive"
"0","3","male","0","0","C","1","Adult","Cheap"
"1","1","female","0","2","S","3","Young","Expensive"
"0","2","male","0","0","S","1","Adult","Medium"
"1","1","male","1","1","C","3","Elder","Expensive"
"0","3","male","0","0","S","1","Young","Cheap"
"0","3","male","0","0","S","1","Young","Cheap"
"0","3","male","0","0","S","1","Adult","Cheap"
"1","1","female","1","0","C","2","Elder","Expensive"
"0","3","male","0","0","S","1","Adult","Cheap"
"0","3","female","0","2","Q","3","Adult","Cheap"
"0","2","male","1","0","S","2","Adult","Medium"
"0","3","male","1","1","S","3","Adult","Medium"
"1","2","female","0","0","S","1","Adult","Expensive"
"0","3","male","0","0","S","1","Adult","Cheap"
"0","3","male","0","0","C","1","Adult","Cheap"
"1","1","male","1","0","C","2","Adult","Expensive"
"1","2","female","2","1","S","4","Young","Medium"
"0","3","male","0","0","S","1","Adult","Cheap"
"0","1","male","0","0","S","1","Adult","Expensive"
"0","3","male","0","0","S","1","Adult","Cheap"
"1","1","male","0","0","C","1","Adult","Medium"
"0","3","male","1","0","S","2","Adult","Medium"
"0","3","male","0","0","S","1","Adult","Cheap"
"1","1","male","0","0","S","1","Adult","Expensive"
"1","2","female","1","2","C","4","Young","Expensive"
"1","1","female","0","0","S","1","Adult","Ridiciulous"
"0","3","female","1","5","S","7","Adult","Expensive"
"0","3","male","0","0","S","1","Adult","Cheap"
"1","3","female","1","0","Q","2","Young","Medium"
"0","3","male","0","0","Q","1","Elder","Cheap"
"0","3","male","0","0","S","1","Adult","Cheap"
"1","2","female","1","2","S","4","Young","Expensive"
"0","3","male","1","1","S","3","Adult","Medium"
"0","3","female","1","0","S","2","Adult","Medium"
"1","2","female","2","1","S","4","Baby","Expensive"
"0","2","male","0","0","S","1","Adult","Cheap"
"0","3","male","1","0","C","2","Adult","Medium"
"1","1","male","1","0","S","2","Adult","Expensive"
"1","3","male","1","1","C","3","Young","Medium"
"0","3","male","0","0","S","1","Young","Cheap"
"0","3","male","0","0","S","1","Young","Medium"
"0","1","male","0","0","S","1","Elder","Expensive"
"0","2","male","0","0","Q","1","Elder","Medium"
"1","1","female","0","0","S","1","Young","Expensive"
"0","3","male","0","0","S","1","Adult","Cheap"
"0","3","male","0","0","Q","1","Adult","Cheap"
"1","1","male","0","0","S","1","Elder","Expensive"
"0","3","male","0","0","S","1","Elder","Cheap"
"1","1","male","0","0","C","1","Adult","Expensive"
"0","1","male","0","0","S","1","Adult","Medium"
"0","3","female","3","2","S","6","Kid","Medium"
"1","2","female","0","0","S","1","Adult","Medium"
"0","3","male","0","0","S","1","Adult","Cheap"
"0","2","male","1","1","S","3","Adult","Medium"
"0","3","female","0","5","S","6","Adult","Expensive"
"0","3","male","1","0","S","2","Adult","Medium"
"0","3","male","0","0","S","1","Young","Cheap"
"1","1","female","0","0","C","1","Young","Expensive"
"0","3","female","3","2","S","6","Baby","Medium"
"1","3","male","0","0","S","1","Adult","Expensive"
"1","3","female","2","1","C","4","Baby","Medium"
"1","1","male","1","0","C","2","Adult","Expensive"
"0","3","male","0","0","S","1","Young","Cheap"
"1","1","male","0","0","C","1","Elder","Expensive"
"0","3","male","0","0","S","1","Young","Cheap"
"1","3","female","0","0","S","1","Young","Cheap"
"0","3","male","0","0","S","1","Adult","Cheap"
"1","2","female","0","1","S","2","Young","Medium"
"0","3","male","0","0","S","1","Young","Cheap"
"1","3","female","0","0","Q","1","Adult","Cheap"
"0","3","female","0","0","Q","1","Young","Cheap"
"0","2","male","2","0","S","3","Young","Expensive"
"0","3","male","0","0","S","1","Adult","Cheap"
"0","3","female","1","1","Q","3","Adult","Medium"
"0","2","male","0","0","S","1","Young","Medium"
"0","1","male","0","2","C","3","Elder","Ridiciulous"
"1","1","male","2","0","S","3","Elder","Ridiciulous"
"0","3","male","0","0","C","1","Adult","Cheap"
"0","1","male","0","0","S","1","Adult","Medium"
"0","3","male","0","0","S","1","Adult","Cheap"
"1","3","male","1","0","S","2","Young","Cheap"
"0","2","male","2","0","S","3","Adult","Expensive"
"0","2","male","0","0","S","1","Adult","Medium"
"0","3","male","0","0","S","1","Adult","Cheap"
"0","3","male","0","0","S","1","Adult","Cheap"
"1","1","female","1","0","S","2","Adult","Expensive"
"1","2","female","1","1","S","3","Adult","Expensive"
"0","1","male","1","0","S","2","Adult","Expensive"
"0","2","male","0","0","S","1","Elder","Cheap"
"1","2","male","0","0","S","1","Adult","Medium"
"0","2","male","0","0","S","1","Adult","Medium"
"0","3","male","0","0","S","1","Young","Cheap"
"0","3","male","0","0","S","1","Young","Cheap"
"1","3","female","0","0","S","1","Young","Cheap"
"0","3","female","1","6","S","8","Adult","Expensive"
"1","1","male","0","1","C","2","Adult","Expensive"
"0","3","female","0","0","Q","1","Young","Cheap"
"1","1","male","0","0","C","1","Adult","Expensive"
"0","3","male","0","0","S","1","Young","Cheap"
"0","3","male","5","2","S","8","Kid","Expensive"
"0","2","male","1","1","S","3","Elder","Expensive"
"0","2","male","1","2","C","4","Adult","Expensive"
"0","3","male","4","1","S","6","Kid","Expensive"
"0","3","male","0","0","S","1","Young","Cheap"
"0","3","male","0","0","S","1","Young","Cheap"
"1","1","female","0","1","S","2","Young","Ridiciulous"
"1","1","male","1","0","S","2","Adult","Expensive"
"1","3","female","0","1","C","2","Baby","Medium"
"1","3","male","0","0","S","1","Adult","Expensive"
"0","3","male","0","0","C","1","Adult","Cheap"
"0","1","male","0","0","S","1","Elder","Medium"
"0","2","male","0","0","S","1","Elder","Medium"
"0","3","male","0","0","S","1","Adult","Cheap"
"1","3","female","0","0","Q","1","Young","Cheap"
"0","1","male","1","1","C","3","Adult","Ridiciulous"
"0","3","male","0","0","S","1","Adult","Cheap"
"1","1","female","1","0","C","2","Young","Ridiciulous"
"1","1","male","0","0","S","1","Adult","Medium"
"0","3","female","0","1","C","2","Young","Medium"
"0","3","male","0","0","Q","1","Adult","Cheap"
"0","3","male","1","0","S","2","Adult","Cheap"
"0","2","male","0","0","S","1","Adult","Medium"
"1","2","female","0","0","S","1","Adult","Medium"
"1","1","male","0","0","S","1","Adult","Medium"
"1","1","female","0","0","S","1","Young","Ridiciulous"
"1","3","male","1","1","C","3","Kid","Medium"
"1","1","female","0","0","C","1","Young","Expensive"
"0","1","male","0","0","S","1","Elder","Medium"
"1","1","male","1","0","S","2","Adult","Expensive"
"0","3","male","0","0","S","1","Adult","Cheap"
"0","2","male","0","0","S","1","Elder","Medium"
"0","3","male","0","0","S","1","Young","Cheap"
"1","1","female","0","0","C","1","Adult","Ridiciulous"
"1","2","female","0","0","S","1","Adult","Cheap"
"0","3","male","0","0","Q","1","Young","Medium"
"0","3","male","0","0","S","1","Adult","Cheap"
"1","2","female","0","1","S","2","Kid","Expensive"
"0","3","male","1","0","S","2","Young","Cheap"
"0","2","male","0","0","S","1","Adult","Medium"
"0","2","male","0","0","S","1","Elder","Medium"
"1","1","male","1","0","S","2","Adult","Expensive"
"0","3","male","0","0","S","1","Young","Cheap"
"1","2","female","3","0","S","4","Adult","Medium"
"1","3","female","0","0","Q","1","Young","Cheap"
"0","2","male","1","0","S","2","Adult","Medium"
"0","3","female","1","0","S","2","Adult","Cheap"
"1","1","female","0","0","S","1","Adult","Ridiciulous"
"0","3","male","0","0","C","1","Kid","Medium"
"0","2","male","0","0","S","1","Adult","Medium"
"0","2","male","0","0","S","1","Young","Medium"
"0","2","male","0","0","S","1","Young","Medium"
"0","3","male","0","0","S","1","Adult","Medium"
"0","3","female","1","3","S","5","Adult","Expensive"
"1","1","male","0","0","C","1","Adult","Expensive"
"0","3","male","0","0","S","1","Adult","Cheap"
"0","3","male","0","0","S","1","Adult","Cheap"
"1","1","male","0","0","S","1","Adult","Expensive"
"0","1","male","1","0","S","2","Adult","Expensive"
"1","1","female","2","2","C","5","Young","Ridiciulous"
"0","3","male","1","0","S","2","Young","Medium"
"1","3","male","0","0","S","1","Adult","Cheap"
"0","1","male","1","1","S","3","Elder","Expensive"
"0","3","male","1","1","S","3","Young","Medium"
"1","2","female","0","0","S","1","Adult","Medium"
"0","1","male","1","0","S","2","Young","Expensive"
"0","3","male","0","0","Q","1","Adult","Cheap"
"1","2","female","1","1","S","3","Baby","Medium"
"1","3","male","0","1","S","2","Kid","Medium"
"0","3","male","0","0","S","1","Adult","Cheap"
"0","3","male","0","0","S","1","Young","Cheap"
"1","2","female","1","2","S","4","Adult","Expensive"
"1","2","male","1","1","S","3","Baby","Medium"
"0","3","male","0","0","S","1","Adult","Cheap"
"0","2","male","0","0","S","1","Young","Cheap"
"0","3","male","0","0","S","1","Adult","Cheap"
"1","1","female","0","0","S","1","Adult","Expensive"
"0","3","male","0","0","S","1","Young","Medium"
"0","3","male","0","0","S","1","Adult","Cheap"
"1","3","male","0","0","C","1","Young","Cheap"
"1","1","female","1","2","S","4","Adult","Ridiciulous"
"0","3","male","0","0","S","1","Young","Cheap"
"1","1","female","1","0","S","2","Elder","Expensive"
"0","1","male","0","0","C","1","Adult","Expensive"
"0","3","female","0","0","Q","1","Adult","Cheap"
"0","3","male","1","0","Q","2","Adult","Medium"
"0","3","male","0","0","S","1","Adult","Cheap"
"0","3","male","0","0","S","1","Young","Cheap"
"0","3","male","0","0","S","1","Adult","Cheap"
"0","2","female","0","0","S","1","Elder","Cheap"
"0","3","male","0","0","C","1","Adult","Cheap"
"1","2","female","1","3","S","5","Elder","Medium"
"0","3","male","0","0","S","1","Young","Cheap"
"0","3","male","0","0","Q","1","Elder","Cheap"
"1","3","female","0","0","S","1","Kid","Medium"
"0","3","male","0","0","Q","1","Adult","Cheap"
"1","1","female","0","1","S","2","Adult","Ridiciulous"
"1","3","female","0","0","C","1","Kid","Cheap"
"1","1","female","1","0","S","2","Young","Expensive"
"0","1","male","0","0","S","1","Adult","Expensive"
"0","3","male","1","2","S","4","Adult","Medium"
"0","3","male","0","0","S","1","Adult","Cheap"
"0","3","male","0","0","S","1","Adult","Cheap"
"1","3","female","0","0","S","1","Young","Cheap"
"0","3","male","4","1","Q","6","Kid","Medium"
"1","3","male","1","2","S","4","Baby","Medium"
"0","1","male","0","0","C","1","Adult","Expensive"
"0","3","male","0","0","Q","1","Elder","Cheap"
"0","2","male","0","0","S","1","Young","Medium"
"0","3","female","8","2","S","11","Kid","Expensive"
"0","1","male","0","0","C","1","Elder","Expensive"
"0","3","male","0","0","S","1","Adult","Cheap"
"0","2","male","0","0","S","1","Adult","Medium"
"1","1","female","0","0","S","1","Adult","Medium"
"1","3","female","0","0","S","1","Adult","Cheap"
"0","3","male","0","0","C","1","Adult","Cheap"
"0","3","female","1","1","S","3","Adult","Medium"
"0","2","male","0","0","S","1","Adult","Medium"
"1","2","female","1","1","S","3","Adult","Medium"
"1","1","male","1","2","S","4","Kid","Ridiciulous"
"1","3","male","0","1","C","2","Baby","Cheap"
"1","3","male","0","0","S","1","Adult","Cheap"
"0","3","male","0","0","S","1","Adult","Cheap"
"0","1","male","0","0","S","1","Adult","Medium"
"0","3","female","0","0","S","1","Young","Cheap"
"0","2","male","0","0","S","1","Adult","Medium"
"1","1","female","1","0","S","2","Adult","Expensive"
"0","3","male","0","0","S","1","Adult","Cheap"
"0","3","male","0","0","S","1","Adult","Medium"
"0","2","male","0","0","S","1","Adult","Cheap"
"0","3","female","4","2","S","7","Kid","Expensive"
"0","3","male","0","0","S","1","Adult","Cheap"
"0","1","male","0","0","S","1","Adult","Medium"
"0","3","female","0","0","S","1","Young","Cheap"
"0","2","male","1","1","C","3","Adult","Expensive"
"0","3","male","0","0","S","1","Adult","Cheap"
"0","3","male","3","2","S","6","Kid","Medium"
"1","1","female","1","1","S","3","Elder","Expensive"
"1","3","male","0","0","S","1","Adult","Cheap"
"0","1","male","0","0","S","1","Adult","Cheap"
"1","3","female","0","1","S","2","Adult","Medium"
"0","3","male","4","1","S","6","Baby","Expensive"
"0","3","male","0","0","Q","1","Adult","Cheap"
"0","3","male","0","0","S","1","Adult","Expensive"
"1","2","male","0","2","C","3","Baby","Expensive"
"1","3","male","0","0","Q","1","Young","Cheap"
"1","1","female","0","0","S","1","Elder","Expensive"
"1","3","female","1","0","C","2","Young","Medium"
"1","2","male","1","1","S","3","Baby","Medium"
"0","3","male","0","0","C","1","Young","Cheap"
"0","3","male","0","0","S","1","Young","Cheap"
"0","3","male","0","0","S","1","Young","Cheap"
"1","1","female","1","1","C","3","Adult","Expensive"
"0","3","male","0","0","S","1","Young","Cheap"
"0","3","male","0","0","S","1","Young","Cheap"
"1","3","male","0","0","S","1","Adult","Expensive"
"1","1","male","0","0","C","1","Elder","Medium"
"0","3","male","0","0","S","1","Young","Cheap"
"0","2","male","0","0","S","1","Young","Cheap"
"1","1","female","0","0","C","1","Adult","Expensive"
"0","3","male","0","0","C","1","Adult","Cheap"
"0","3","male","0","0","S","1","Young","Cheap"
"0","3","male","0","0","S","1","Adult","Cheap"
"0","3","male","8","2","S","11","Kid","Expensive"
"0","3","male","0","0","C","1","Adult","Cheap"
"0","2","male","0","1","S","2","Adult","Expensive"
"1","1","female","1","0","C","2","Adult","Expensive"
"0","3","male","4","2","S","7","Baby","Expensive"
"0","3","male","0","0","S","1","Elder","Cheap"
"0","3","female","1","1","C","3","Kid","Medium"
"1","1","female","0","1","S","2","Young","Expensive"
"0","2","female","1","0","S","2","Adult","Medium"
"1","3","female","0","1","S","2","Young","Cheap"
"1","1","female","1","1","S","3","Adult","Ridiciulous"
"1","1","male","0","0","S","1","Elder","Medium"
"1","3","female","0","3","C","4","Young","Medium"
"0","3","male","0","0","C","1","Young","Cheap"
"0","3","male","2","0","S","3","Adult","Medium"
"0","2","male","1","0","S","2","Young","Cheap"
"1","1","female","0","0","S","1","Adult","Medium"
"0","3","female","8","2","S","11","Kid","Expensive"
"0","2","male","0","0","S","1","Young","Medium"
"1","2","female","0","0","S","1","Adult","Medium"
"1","2","female","1","0","C","2","Adult","Medium"
"0","1","male","0","0","S","1","Adult","Expensive"
"0","3","male","0","0","S","1","Adult","Cheap"
"1","3","male","1","1","S","3","Baby","Cheap"
"0","3","male","0","0","S","1","Adult","Cheap"
"1","1","female","1","1","S","3","Adult","Expensive"
"0","1","male","0","0","S","1","Adult","Cheap"
"0","3","male","0","0","S","1","Adult","Cheap"
"1","2","female","1","0","C","2","Adult","Medium"
"1","3","female","0","0","C","1","Young","Cheap"
"0","3","male","0","0","S","1","Young","Cheap"
"0","3","male","0","0","S","1","Young","Cheap"
"0","3","male","0","0","S","1","Adult","Cheap"
"1","1","female","0","1","C","2","Elder","Expensive"
"1","2","female","0","1","S","2","Adult","Medium"
"0","3","male","0","0","S","1","Adult","Cheap"
"0","3","female","0","0","S","1","Young","Cheap"
"0","2","male","0","0","S","1","Adult","Cheap"
"0","3","male","0","0","S","1","Adult","Cheap"
"0","3","female","0","5","Q","6","Adult","Medium"
"0","2","male","0","0","S","1","Adult","Medium"
"1","1","female","0","0","S","1","Young","Expensive"
"0","3","female","1","2","S","4","Adult","Medium"
"1","1","male","0","0","C","1","Adult","Expensive"
"0","3","male","0","0","Q","1","Adult","Cheap"
